	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
80436	which were still common at the time of Solanki 's writing	which	DET	which	nsubj	lightbulbs	incandescent lightbulbs	(44, 54)	(',', '.')	It has the eleventh-highest melting point of any element , and its eight neighbors on the periodic chart have all been used to strengthen , harden , and stabilize steel and other alloys , including the tungsten filaments of incandescent lightbulbs , which were still common at the time of Solanki 's writing .
80437	which prevents other metals from corroding	which	DET	which	nsubj	current	a slight electric current	(20, 25)	(',', '.')	More importantly , as a so-called beta emitter , it generates a slight but constant electric current , which prevents other metals from corroding .
80438	that he was ,	he	PRON	that	mark	scientist	Poor scientist	(3, 6)	('scientist', 'he')	Poor scientist that he was , he could perhaps be forgiven for such a fraud ; he sold the land for enough money to retire on several times over .
80439	that fuzzed the picture even of Harry 's high - end Sony equipment	that	DET	that	nsubj	one	veil - one	(17, 29)	('one', '.')	Though dressed in jeans and a gray sweatshirt , Smith wore an expensive privacy veil-one that fuzzed the picture even of Harry 's high-end Sony equipment .
80440	who favor a republic ruled by an elected leader	who	PRON	who	nsubj	Nobles	Nobles	(1, 9)	('Nobles', 'are')	Nobles who favor a republic ruled by an elected leader are also meeting , not far from the sacred grove of the Druids .
80441	who has the support of both the gods and the people	who	PRON	who	nsubj	leader	a strong leader	(19, 29)	('leader', '.')	"The Druids support the tradition of "" Divine Kingship "" because they recognize the importance of a strong leader who has the support of both the gods and the people ."
80442	who are worthy to witness the sacred event	who	PRON	who	nsubj	all	all	(2, 9)	('all', '.')	Invite all who are worthy to witness the sacred event .
80443	that is hollow within and collect wood for the fire	that	DET	that	nsubj	shape	his shape	(11, 20)	('shape', '.')	Coprax : I will moke a wicker figure in his shape that is hollow within and collect wood for the fire .
80444	that have sharpened	that	DET	that	nsubj	ditches	ditches	(9, 11)	('pits', ',')	I also want rows of ditches and pits that have sharpened , fire-hardened posts sunk in the bottom .
80445	who could reach for the apex insipitator	who	PRON	who	nsubj	customer	the customer	(21, 27)	('customer', 'would')	And since Bandar had needed to mount a folding step to position the pyramid 's upper strata , the customer who could reach for the apex insipitator would have to be freakishly tall .
80446	that was closest to hand	that	DET	that	nsubj	insipitator	the insipitator	(20, 24)	('insipitator', '.')	He rearranged the devices on a series of terraced shelves , allowing persons of varying heights to reach the insipitator that was closest to hand .
80447	whose study was the purpose of the venerable Institute	study	NOUN	whose	poss	unconscious	the grand collective unconscious	(28, 36)	(',', '.')	He found the work tedious and dull , far less interesting than had been his explorations of the noosphere , the grand collective unconscious of humanity , whose study was the purpose of the venerable Institute .
80448	that sped a thoroughly disgraced Guth Bandar back to Boderel	that	DET	that	nsubj	crescendo	a crescendo	(29, 38)	('repudiation', '.')	Gabbris had skillfully orchestrated the different streams of opprobrium , playing the Grand Colloquium as a conductor leads an orchestra , achieving at the end a crescendo of repudiation that sped a thoroughly disgraced Guth Bandar back to Boderel .
80449	that prized rigorous sobriety and self - denial	that	DET	that	nsubj	system	a philosophical system	(19, 26)	('system', '.')	A plurality of the Boderel district 's inhabitants were adherents of the Concord of Astringency , a philosophical system that prized rigorous sobriety and self-denial .
80450	that recorded transactions	that	DET	that	nsubj	device	the device	(11, 13)	('device', ',')	Fley took his customary seat on a stool behind the device that recorded transactions , bowed his grayed head and clasped his hands across his midriff .
80451	who purchase the new man 's insipitators	who	PRON	who	nsubj	persons	persons	(4, 10)	('persons', 'will')	"For example , persons who purchase the new man 's insipitators will receive a corrugated pillow , free of charge . """
80452	that lifted off before dawn	that	DET	that	nsubj	spaceliner	a spaceliner	(15, 19)	('spaceliner', '.')	""" Tshimshim Barr-Chevry has converted his fantasy into a ticket on a spaceliner that lifted off before dawn ."
80453	who sits behind a shield of anonymity	who	PRON	who	nsubj	enterprise	the enterprise	(16, 22)	(',', '.')	""" He is only a placeholder , employed by the true purchaser of the enterprise , who sits behind a shield of anonymity . """
80454	in which you have no interest	you	PRON	which	pobj	information	information	(6, 11)	('in', 'This')	""" You seek information in which you have no interest ?"
80455	who invite his intervention	who	PRON	who	nsubj	Those	Those	(1, 4)	('Those', 'can')	Those who invite his intervention can sometimes receive much more help than they anticipated .
80456	that occupied the large island in Mornedy Sound	that	DET	that	nsubj	families	two aristocratic families	(18, 25)	('families', '.')	""" For example , "" said the integrator , "" there was the dispute between two aristocratic families that occupied the large island in Mornedy Sound ."
80457	that indicated mild interest	that	DET	that	nsubj	sound	a sound	(6, 9)	('sound', '.')	The integrator then made a sound that indicated mild interest .
80458	that would occupy the hour before the bell called all to dinner	bell	NOUN	that	nsubj	conclave	"masters "" lesser conclave"	(5, 16)	('conclave', '.')	"masters "" lesser conclave that would occupy the hour before the bell called all to dinner ."
80459	that mingled derision with hate	that	DET	that	nsubj	noise	a noise	(4, 8)	('noise', '.')	Bandar made a noise that mingled derision with hate .
80460	in which we are but flickering reflections , ephemeral and substanceless	we	PRON	which	pobj	mirror	the constant mirror	(8, 18)	('in', 'We')	""" It is the constant mirror in which we are but flickering reflections , ephemeral and substanceless ."
80461	that was the key to unlock the mystery	that	DET	that	nsubj	factum	some forgotten factum	(20, 27)	('factum', '.')	A portion of his mind niggled at him , holding out a tantalizing whiff of some forgotten but crucial factum that was the key to unlock the mystery .
80462	that led into rooms great or small , the former for lectures ,	that	DET	that	nsubj	doors	doors	(10, 22)	('doors', 'the')	The wide hallway was lined on either side by doors that led into rooms great or small , the former for lectures , the latter for exercises in meditation .
80463	who has done none harm and merits no punishment	none	NOUN	who	nsubj	uncle	my good uncle	(13, 21)	(',', '.')	""" You have sicced the odious Gabbris on my good uncle , who has done none harm and merits no punishment . """
80464	that went around its neck and hung down	that	DET	that	nsubj	sort	some sort	(18, 25)	('ribbon', 'its')	He spoke to a cartoonish representation of an animal wearing an odd hat and some sort of ribbon that went around its neck and hung down
80465	that blended together to form the core elements of his psyche	that	DET	that	nsubj	archetypes	the archetypes	(5, 15)	('archetypes', '.')	He referred to the archetypes that blended together to form the core elements of his psyche .
80466	that was the Commons	that	DET	that	nsubj	hallmarks	all the hallmarks	(15, 18)	('matrix', '.')	But this setting had all the hallmarks of an established Location somewhere in the matrix that was the Commons .
80467	that came equipped with its own inner life	that	DET	that	nsubj	persona	a persona	(12, 19)	('persona', '.')	This time , Bandar seemed to be an addition to a persona that came equipped with its own inner life .
80468	that dated from the dawn - time , when they were ridden or used to pull primitive wheeled vehicles	that	DET	that	nsubj	beasts	such beasts	(8, 26)	('Locations', '.')	Bandar had seen such beasts in many Locations that dated from the dawn-time , when they were ridden or used to pull primitive wheeled vehicles .
80469	that Bandar found he was wearing	he	PRON	that	mark	hat	a brimmed hat	(25, 30)	('hat', '.')	"They set off at a "" canter "" across the Landscape , the wind of their passage tugging at a broad-brimmed hat that Bandar found he was wearing ."
80470	that obviously had meaning to the horse	that	DET	that	nsubj	syllable	some wordless syllable	(17, 23)	('syllable', ',')	The idiomat 's heels hit the horse 's side again and he shouted some wordless syllable that obviously had meaning to the horse , because the beast broke into a sudden gallop .
80471	that held the reins	that	DET	that	nsubj	hands	the hands	(5, 8)	('hands', '.')	streaming back over the hands that held the reins .
80472	that was too timid to revolt and overthrow him	that	DET	that	nsubj	Population	a Suffering Population	(20, 28)	('Population', '.')	This Strayhorn would be a Principal in this Location , a local Tyrant imposing his will upon a Suffering Population that was too timid to revolt and overthrow him .
80473	that would be	that	DET	that	nsubj	two	the two	(5, 7)	('two', 'was')	Which of the two that would be was uncertain : Heroes came in a wide variety of types , and Bandar would need to take a close look at the father before he could establish whether the idiomat was of the Reluctant , or the Pure , or even the Sacrificial type .
80474	that would define this Hero	that	DET	that	nsubj	telltales	telltales	(6, 10)	('telltales', '.')	He was looking for telltales that would define this Hero .
80475	that he saw in the older idiomat 's eyes as the boy told of confronting the three Henchmen	boy	NOUN	that	dobj	worry	the worry	(18, 35)	('worry', ',')	He had already added Flawed to the list of rejected types , and judging by the worry that he saw in the older idiomat 's eyes as the boy told of confronting the three Henchmen , he was also ready to dismiss Pure as an option - a Pure Hero 's eyes would have blazed with righteous anger .
